Date;Value
2008-12-20;347
2008-12-21;347
2008-12-22;349
2008-12-23;352
2008-12-24;350
2008-12-25;349
2008-12-26;348
2008-12-27;347
2008-12-28;346
2008-12-29;345
2008-12-30;345
2008-12-31;343
2009-01-01;341
2009-01-02;340
2009-01-03;338
2009-01-04;338
2009-01-05;336
2009-01-06;331
2009-01-07;326
2009-01-08;320
2009-01-09;315
2009-01-10;314
2009-01-11;312
2009-01-12;315
2009-01-13;315
2009-01-14;314
2009-01-15;313
2009-01-16;314
2009-01-17;315
2009-01-18;309
2009-01-19;305
2009-01-20;300
2009-01-21;299
2009-01-22;299
2009-01-23;296
2009-01-24;293
2009-01-25;292
2009-01-26;296
2009-01-27;301
2009-01-28;307
2009-01-29;307
2009-01-30;309
2009-01-31;310
2009-02-01;310
2009-02-02;310
2009-02-03;315
2009-02-04;313
2009-02-05;311
2009-02-06;309
2009-02-07;308
2009-02-08;308
2009-02-09;309
2009-02-10;310
2009-02-11;310
2009-02-12;310
2009-02-13;309
2009-02-14;306
2009-02-15;306
2009-02-16;308
2009-02-17;311
2009-02-18;311
2009-02-19;312
2009-02-20;309
2009-02-21;311
2009-02-22;313
2009-02-23;316
2009-02-24;321
2009-02-25;321
2009-02-26;320
2009-02-27;317
2009-02-28;316
2009-03-01;315
2009-03-02;315
2009-03-03;319
2009-03-04;322
2009-03-05;320
2009-03-06;315
2009-03-07;314
2009-03-08;314
2009-03-09;318
2009-03-10;322
2009-03-11;325
2009-03-12;327
2009-03-13;331
2009-03-14;333
2009-03-15;336
2009-03-16;334
2009-03-17;340
2009-03-18;346
2009-03-19;350
2009-03-20;344
2009-03-21;339
2009-03-22;337
2009-03-23;335
2009-03-24;333
2009-03-25;330
2009-03-26;336
2009-03-27;336
2009-03-28;336
2009-03-29;335
2009-03-30;335
2009-03-31;333
2009-04-01;330
2009-04-02;330
2009-04-03;332
2009-04-04;338
2009-04-05;338
2009-04-06;326
2009-04-07;319
2009-04-08;308
2009-04-09;306
2009-04-10;306
2009-04-11;308
2009-04-12;323
2009-04-13;330
2009-04-14;343
2009-04-15;346
2009-04-16;347
2009-04-17;352
2009-04-18;366
2009-04-19;379
2009-04-20;385
2009-04-21;393
2009-04-22;397
2009-04-23;399
2009-04-24;408
2009-04-25;395
2009-04-26;337
2009-04-27;285
2009-04-28;287
2009-04-29;357
2009-04-30;375
2009-05-01;350
2009-05-02;352
2009-05-03;381
2009-05-04;391
2009-05-05;405
2009-05-06;425
2009-05-07;448
2009-05-08;475
2009-05-09;482
2009-05-10;477
2009-05-11;452
2009-05-12;447
2009-05-13;440
2009-05-14;415
2009-05-15;394
2009-05-16;376
2009-05-17;367
2009-05-18;376
2009-05-19;359
2009-05-20;340
2009-05-21;334
2009-05-22;341
2009-05-23;377
2009-05-24;399
2009-05-25;397
2009-05-26;382
2009-05-27;387
2009-05-28;372
2009-05-29;345
2009-05-30;337
2009-05-31;332
2009-06-01;331
2009-06-02;321
2009-06-03;320
2009-06-04;332
2009-06-05;345
2009-06-06;347
2009-06-07;351
2009-06-08;355
2009-06-09;344
2009-06-10;339
2009-06-11;337
2009-06-12;337
2009-06-13;339
2009-06-14;359
2009-06-15;374
2009-06-16;378
2009-06-17;379
2009-06-18;371
2009-06-19;365
2009-06-20;355
2009-06-21;345
2009-06-22;340
2009-06-23;341
2009-06-24;367
2009-06-25;397
2009-06-26;410
2009-06-27;402
2009-06-28;392
2009-06-29;377
2009-06-30;369
2009-07-01;353
2009-07-02;341
2009-07-03;334
2009-07-04;324
2009-07-05;316
2009-07-06;310
2009-07-07;301
2009-07-08;298
2009-07-09;297
2009-07-10;298
2009-07-11;301
2009-07-12;310
2009-07-13;329
2009-07-14;337
2009-07-15;334
2009-07-16;324
2009-07-17;310
2009-07-18;308
2009-07-19;305
2009-07-20;299
2009-07-21;288
2009-07-22;290
2009-07-23;298
2009-07-24;310
2009-07-25;318
2009-07-26;330
2009-07-27;340
2009-07-28;326
2009-07-29;316
2009-07-30;304
2009-07-31;290
2009-08-01;286
2009-08-02;292
2009-08-03;299
2009-08-04;295
2009-08-05;291
2009-08-06;298
2009-08-07;302
2009-08-08;308
2009-08-09;317
2009-08-10;327
2009-08-11;342
2009-08-12;342
2009-08-13;339
2009-08-14;334
2009-08-15;325
2009-08-16;328
2009-08-17;375
2009-08-18;405
2009-08-19;399
2009-08-20;366
2009-08-21;350
2009-08-22;341
2009-08-23;340
2009-08-24;342
2009-08-25;355
2009-08-26;361
2009-08-27;354
2009-08-28;345
2009-08-29;329
2009-08-30;326
2009-08-31;347
2009-09-01;363
2009-09-02;377
2009-09-03;378
2009-09-04;376
2009-09-05;366
2009-09-06;356
2009-09-07;350
2009-09-08;356
2009-09-09;423
2009-09-10;442
2009-09-11;473
2009-09-12;513
2009-09-13;537
2009-09-14;549
2009-09-15;540
2009-09-16;507
2009-09-17;470
2009-09-18;450
2009-09-19;415
2009-09-20;410
2009-09-21;410
2009-09-22;406
2009-09-23;400
2009-09-24;385
2009-09-25;372
2009-09-26;366
2009-09-27;379
2009-09-28;389
2009-09-29;402
2009-09-30;411
2009-10-01;409
2009-10-02;392
2009-10-03;383
2009-10-04;376
2009-10-05;367
2009-10-06;367
2009-10-07;366
2009-10-08;362
2009-10-09;356
2009-10-10;352
2009-10-11;350
2009-10-12;350
2009-10-13;349
2009-10-14;348
2009-10-15;344
2009-10-16;341
2009-10-17;334
2009-10-18;328
2009-10-19;321
2009-10-20;312
2009-10-21;296
2009-10-22;290
2009-10-23;289
2009-10-24;289
2009-10-25;287
2009-10-26;276
2009-10-27;265
2009-10-28;259
2009-10-29;259
2009-10-30;257
2009-10-31;254
2009-11-01;249
2009-11-02;250
2009-11-03;262
2009-11-04;278
2009-11-05;278
2009-11-06;276
2009-11-07;268
2009-11-08;262
2009-11-09;254
2009-11-10;250
2009-11-11;253
2009-11-12;253
2009-11-13;239
2009-11-14;226
2009-11-15;224
2009-11-16;234
2009-11-17;245
2009-11-18;261
2009-11-19;267
2009-11-20;268
2009-11-21;279
2009-11-22;280
2009-11-23;268
2009-11-24;260
2009-11-25;247
2009-11-26;238
2009-11-27;236
2009-11-28;235
2009-11-29;245
2009-11-30;294
2009-12-01;347
2009-12-02;347
2009-12-03;343
2009-12-04;343
2009-12-05;343
2009-12-06;344
2009-12-07;347
2009-12-08;359
2009-12-09;374
2009-12-10;377
2009-12-11;379
2009-12-12;386
2009-12-13;388
2009-12-14;386
2009-12-15;386
2009-12-16;379
2009-12-17;369
2009-12-18;359
2009-12-19;359
2009-12-20;356
2009-12-21;354
2009-12-22;352
2009-12-23;352
2009-12-24;352
2009-12-25;350
2009-12-26;359
2009-12-27;375
2009-12-28;376
2009-12-29;377
2009-12-30;378
2009-12-31;378
2010-01-01;376
2010-01-02;375
2010-01-03;373
2010-01-04;373
2010-01-05;373
2010-01-06;373
2010-01-07;369
2010-01-08;367
2010-01-09;367
2010-01-10;367
2010-01-11;367
2010-01-12;364
2010-01-13;361
2010-01-14;358
2010-01-15;357
2010-01-16;354
2010-01-17;354
2010-01-18;358
2010-01-19;364
2010-01-20;366
2010-01-21;364
2010-01-22;362
2010-01-23;359
2010-01-24;356
2010-01-25;351
2010-01-26;348
2010-01-27;344
2010-01-28;340
2010-01-29;337
2010-01-30;335
2010-01-31;333
2010-02-01;328
2010-02-02;323
2010-02-03;321
2010-02-04;320
2010-02-05;320
2010-02-06;320
2010-02-07;324
2010-02-08;327
2010-02-09;332
2010-02-10;332
2010-02-11;327
2010-02-12;324
2010-02-13;320
2010-02-14;319
2010-02-15;322
2010-02-16;323
2010-02-17;320
2010-02-18;320
2010-02-19;320
2010-02-20;319
2010-02-21;319
2010-02-22;319
2010-02-23;319
2010-02-24;318
2010-02-25;318
2010-02-26;319
2010-02-27;322
2010-02-28;324
2010-03-01;320
2010-03-02;317
2010-03-03;317
2010-03-04;317
2010-03-05;317
2010-03-06;317
2010-03-07;318
2010-03-08;319
2010-03-09;320
2010-03-10;321
2010-03-11;319
2010-03-12;318
2010-03-13;318
2010-03-14;316
2010-03-15;314
2010-03-16;313
2010-03-17;309
2010-03-18;309
2010-03-19;317
2010-03-20;322
2010-03-21;322
2010-03-22;320
2010-03-23;319
2010-03-24;319
2010-03-25;318
2010-03-26;317
2010-03-27;317
2010-03-28;316
2010-03-29;316
2010-03-30;319
2010-03-31;323
2010-04-01;325
2010-04-02;328
2010-04-03;329
2010-04-04;331
2010-04-05;332
2010-04-06;336
2010-04-07;323
2010-04-08;299
2010-04-09;294
2010-04-10;278
2010-04-11;275
2010-04-12;275
2010-04-13;275
2010-04-14;275
2010-04-15;276
2010-04-16;280
2010-04-17;288
2010-04-18;307
2010-04-19;349
2010-04-20;354
2010-04-21;367
2010-04-22;376
2010-04-23;382
2010-04-24;389
2010-04-25;392
2010-04-26;393
2010-04-27;390
2010-04-28;363
2010-04-29;342
2010-04-30;329
2010-05-01;326
2010-05-02;329
2010-05-03;331
2010-05-04;333
2010-05-05;327
2010-05-06;326
2010-05-07;322
2010-05-08;322
2010-05-09;339
2010-05-10;345
2010-05-11;345
2010-05-12;331
2010-05-13;321
2010-05-14;311
2010-05-15;308
2010-05-16;304
2010-05-17;298
2010-05-18;294
2010-05-19;292
2010-05-20;312
2010-05-21;326
2010-05-22;334
2010-05-23;344
2010-05-24;385
2010-05-25;477
2010-05-26;527
2010-05-27;544
2010-05-28;535
2010-05-29;519
2010-05-30;484
2010-05-31;456
2010-06-01;422
2010-06-02;410
2010-06-03;416
2010-06-04;417
2010-06-05;419
2010-06-06;415
2010-06-07;391
2010-06-08;358
2010-06-09;350
2010-06-10;344
2010-06-11;338
2010-06-12;334
2010-06-13;336
2010-06-14;370
2010-06-15;377
2010-06-16;375
2010-06-17;364
2010-06-18;359
2010-06-19;372
2010-06-20;384
2010-06-21;385
2010-06-22;362
2010-06-23;397
2010-06-24;451
2010-06-25;480
2010-06-26;493
2010-06-27;490
2010-06-28;464
